Took,Over,Draft Round,Edge,Result,Account
Barbarian Hut,Dark Prince,4,+0.038,Loss,#9RG0VPUVY
Knight,Heal Spirit,4,+0.039,Win,#9RG0VPUVY
Wizard,Bandit,2,+0.039,Win,#9RG0VPUVY
Dart Goblin,Inferno Dragon,2,+0.040,Win,#9RG0VPUVY
P.E.K.K.A,Mother Witch,2,+0.040,Win,#9RG0VPUVY
P.E.K.K.A,Rune Giant,1,+0.040,Win,#9RG0VPUVY
Mother Witch,Tesla,2,+0.041,Win,#9RQ8YRYQL
Princess,Electro Spirit,3,+0.041,Loss,#9RG0VPUVY
Princess,Electro Spirit,3,+0.041,Win,#9RG0VPUVY
Mother Witch,Tesla,4,+0.041,Loss,#9RG0VPUVY
Executioner,Inferno Dragon,2,+0.043,Win,#9RG0VPUVY
Graveyard,Electro Spirit,3,+0.044,Win,#9RG0VPUVY
Zappies,Rascals,1,+0.044,Win,#9RG0VPUVY
Furnace,Tombstone,3,+0.044,Win,#9RG0VPUVY
Princess,Ice Spirit,2,+0.045,Win,#9RG0VPUVY
Tesla,Goblin Giant,4,+0.046,Win,#9RG0VPUVY
Tesla,Goblin Giant,2,+0.046,Loss,#9RG0VPUVY
Goblin Hut,Rascals,1,+0.046,Win,#9RG0VPUVY
Barbarian Hut,Ram Rider,4,+0.047,Win,#9RG0VPUVY
Baby Dragon,Executioner,1,+0.047,Win,#9RQ8YRYQL
Fireball,Electro Wizard,2,+0.048,Loss,#9RG0VPUVY
Royal Delivery,Valkyrie,4,+0.051,Loss,#9RG0VPUVY
Knight,P.E.K.K.A,3,+0.052,Loss,#9RG0VPUVY
P.E.K.K.A,Valkyrie,4,+0.052,Loss,#9RG0VPUVY
Knight,Royal Delivery,4,+0.053,Loss,#9RG0VPUVY
Heal Spirit,Rune Giant,1,+0.053,Win,#9RG0VPUVY
The Log,Witch,4,+0.053,Win,#9RG0VPUVY
Ram Rider,Elite Barbarians,2,+0.054,Win,#9RG0VPUVY
Royal Delivery,Dark Prince,2,+0.055,Loss,#9RG0VPUVY
Barbarian Hut,Giant Snowball,3,+0.056,Win,#9RG0VPUVY
Goblin Hut,Firecracker,1,+0.056,Loss,#9RG0VPUVY
Berserker,Inferno Dragon,3,+0.056,Win,#9RG0VPUVY
P.E.K.K.A,Dark Prince,2,+0.056,Loss,#9RG0VPUVY
Tesla,Rage,1,+0.059,Win,#9RG0VPUVY
Tesla,Rage,3,+0.059,Win,#9RG0VPUVY
Tesla,Rage,3,+0.059,Win,#9RG0VPUVY
Executioner,Heal Spirit,4,+0.059,Loss,#9RG0VPUVY
Golem,Berserker,2,+0.059,Loss,#9RG0VPUVY
Royal Delivery,Hunter,1,+0.059,Win,#9RG0VPUVY
Tombstone,Ice Spirit,4,+0.060,Win,#9RG0VPUVY
Firecracker,Wizard,1,+0.061,Win,#9RG0VPUVY
Inferno Dragon,Ice Wizard,3,+0.061,Loss,#9RG0VPUVY
Mortar,Ice Wizard,3,+0.062,Win,#9RG0VPUVY
Mortar,Ice Wizard,3,+0.062,Win,#9RG0VPUVY
Three Musketeers,Executioner,1,+0.063,Win,#9RG0VPUVY
Royal Delivery,Ram Rider,4,+0.064,Loss,#9RG0VPUVY
Three Musketeers,Wizard,2,+0.064,Win,#9RG0VPUVY
Mortar,Giant,3,+0.065,Win,#9RG0VPUVY
